doi
10.1371/journal.pone.0037344
10.1371/journal.pone.0037343
10.1371/journal.pone.0037342
10.1371/journal.pone.0037341
10.1371/journal.pone.0037340
10.1371/journal.pone.0037339
10.1371/journal.pone.0037338
10.1371/journal.pone.0037337
10.1371/journal.pcbi.1002545
10.1371/journal.pone.0050704
10.1371/journal.pone.0050703
10.1371/journal.pone.0042642
10.1371/journal.pcbi.1002543
10.1371/journal.pone.0042641
10.1371/journal.pone.0050700
10.1371/journal.pone.0042640
10.1371/journal.pcbi.1002583
10.1371/journal.pone.0047979
10.1371/journal.pcbi.1002582
10.1371/journal.pone.0050739
10.1371/journal.pone.0042684
10.1371/journal.pone.0047977
10.1371/journal.pone.0050737
10.1371/journal.pcbi.1002579
10.1371/journal.pone.0042682
10.1371/journal.pone.0047975
10.1371/journal.pone.0042681
10.1371/journal.pcbi.1002540
10.1371/journal.pcbi.1002538
10.1371/journal.pone.0042639
10.1371/journal.pone.0050697
10.1371/journal.pone.0042638
10.1371/journal.pone.0042637
10.1371/journal.pcbi.1002536
10.1371/journal.pone.0050694
10.1371/journal.pone.0042636
10.1371/journal.pcbi.1002534
10.1371/journal.pcbi.1002533
10.1371/journal.pone.0042635
10.1371/journal.pone.0042634
10.1371/journal.pcbi.1002531
10.1371/journal.pone.0050691
10.1371/journal.pone.0042633
10.1371/journal.pone.0042632
10.1371/journal.pone.0050707
10.1371/journal.pone.0050706
10.1371/journal.pone.0042645
10.1371/journal.pone.0042644
10.1371/journal.pone.0050702
10.1371/journal.pone.0050701
10.1371/journal.pcbi.1002542
10.1371/journal.pcbi.1002541
10.1371/journal.pone.0050699
10.1371/journal.pone.0050698
10.1371/journal.pone.0050696
10.1371/journal.pcbi.1002535
10.1371/journal.pone.0042643
10.1371/journal.pcbi.1002539
10.1371/journal.pcbi.1002537
10.1371/journal.pone.0050692
10.1371/journal.pone.0050776
10.1371/journal.pcbi.1002619
10.1371/journal.pbio.1001099
10.1371/journal.pone.0042725
10.1371/journal.pcbi.1002618
10.1371/journal.pone.0050772
10.1371/journal.pone.0042715
10.1371/journal.pone.0048009
10.1371/journal.pcbi.1002606
10.1371/journal.pone.0047988
10.1371/journal.pone.0050749
10.1371/journal.pone.0050748
10.1371/journal.pone.0042695
10.1371/journal.pone.0042694
10.1371/journal.pcbi.1002588
10.1371/journal.pone.0047978
10.1371/journal.pone.0050738
10.1371/journal.pone.0042683
10.1371/journal.pone.0047976
10.1371/journal.pone.0042680
10.1371/journal.pcbi.1002578
10.1371/journal.pone.0050734
10.1371/journal.pone.0050758
10.1371/journal.pone.0050757
10.1371/journal.pone.0050756
10.1371/journal.pone.0047998
10.1371/journal.pone.0042705
10.1371/journal.pone.0042676
10.1371/journal.pone.0050731
10.1371/journal.pone.0047970
10.1371/journal.pone.0042674
10.1371/journal.pone.0042673
10.1371/journal.pone.0042672
10.1371/journal.pone.0047967
10.1371/journal.pcbi.1002598
10.1371/journal.pone.0047995
10.1371/journal.pone.0042702
10.1371/journal.pone.0042701
10.1371/journal.pone.0047993
10.1371/journal.pcbi.1002595
10.1371/journal.pone.0042699
10.1371/journal.pone.0042698
10.1371/journal.pone.0050750
10.1371/journal.pone.0050735
10.1371/journal.pone.0047974
10.1371/journal.pone.0047973
10.1371/journal.pone.0042679
10.1371/journal.pone.0042678
10.1371/journal.pone.0047991
10.1371/journal.pone.0050741
10.1371/journal.pone.0029207
10.1371/journal.pone.0037353
10.1371/journal.pone.0029206
10.1371/journal.pbio.1001316
10.1371/journal.pone.0029205
10.1371/journal.pone.0037351
10.1371/journal.pone.0029204
10.1371/journal.pone.0037350
10.1371/journal.pone.0045415
10.1371/journal.pone.0037349
10.1371/journal.pone.0045414
10.1371/journal.pone.0029201
10.1371/journal.pone.0042756
10.1371/journal.pbio.1001132
10.1371/journal.pbio.1001131
10.1371/journal.pbio.1001129
10.1371/journal.pbio.1001186
10.1371/journal.pbio.1001185
10.1371/journal.pone.0048062
10.1371/journal.pone.0039906
10.1371/journal.pone.0053361
10.1371/journal.pone.0034538
10.1371/journal.pone.0034537
10.1371/journal.pone.0034536
10.1371/journal.pone.0048059
10.1371/journal.pone.0048035
10.1371/journal.pone.0042743
10.1371/journal.pcbi.1002631
10.1371/journal.pbio.1001117
10.1371/journal.pone.0050791
10.1371/journal.pone.0053329
10.1371/journal.pone.0048033
10.1371/journal.pcbi.1002629
10.1371/journal.pone.0050804
10.1371/journal.pone.0048046
10.1371/journal.pone.0042755
10.1371/journal.pone.0048045
10.1371/journal.pcbi.1002639
10.1371/journal.pone.0042746
10.1371/journal.pbio.1001122
10.1371/journal.pone.0042745
10.1371/journal.pcbi.1002634
