"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
NA,NA,999,999,999,999,999,999,999,999,"1970-01-01"
"plosalm","10.1371/journal.pone.0037344",0,0,0,2141,825,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0037344",0,0,NA,NA,NA,NA,0,1,2012-05-16
"impactstory","10.1371/journal.pone.0037344",NA,NA,NA,2127,825,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037343",2,0,0,932,52,2,3,0,2013-05-17
"altmetric","10.1371/journal.pone.0037343",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037343",NA,NA,NA,921,52,NA,4,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037342",0,0,2,2448,864,1,12,3,2013-05-17
"altmetric","10.1371/journal.pone.0037342",0,0,NA,NA,NA,1,5,4,2012-05-25
"impactstory","10.1371/journal.pone.0037342",NA,NA,2,2437,864,NA,12,2,2013-05-17
"plosalm","10.1371/journal.pone.0037341",0,0,1,1261,145,1,6,0,2013-05-17
"altmetric","10.1371/journal.pone.0037341",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037341",NA,NA,1,1246,145,NA,6,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037340",0,0,0,835,210,0,5,0,2013-05-17
"altmetric","10.1371/journal.pone.0037340",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037340",NA,NA,NA,826,210,NA,5,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037339",0,0,1,1240,406,0,NA,2,2013-05-17
"altmetric","10.1371/journal.pone.0037339",0,0,NA,NA,NA,NA,0,2,2012-05-23
"impactstory","10.1371/journal.pone.0037339",NA,NA,1,1225,406,NA,1,1,2013-05-17
"plosalm","10.1371/journal.pone.0037338",0,0,0,1682,544,0,12,2,2013-05-17
"altmetric","10.1371/journal.pone.0037338",0,0,NA,NA,NA,NA,8,2,2012-05-24
"impactstory","10.1371/journal.pone.0037338",NA,NA,NA,1669,544,NA,12,2,2013-05-17
"plosalm","10.1371/journal.pone.0037337",0,0,1,1062,273,0,4,0,2013-05-17
"altmetric","10.1371/journal.pone.0037337",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037337",NA,NA,1,1053,273,NA,4,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002545",0,0,0,1943,137,0,17,10,2013-05-17
"altmetric","10.1371/journal.pcbi.1002545",0,0,NA,NA,NA,NA,11,8,2012-07-10
"impactstory","10.1371/journal.pcbi.1002545",NA,NA,NA,1926,137,NA,19,1,2013-05-17
"plosalm","10.1371/journal.pone.0050704",0,0,0,393,292,0,NA,3,2013-05-17
"altmetric","10.1371/journal.pone.0050704",0,0,NA,NA,NA,NA,0,3,2013-01-16
"impactstory","10.1371/journal.pone.0050704",NA,NA,NA,386,292,NA,NA,3,2013-05-17
"plosalm","10.1371/journal.pone.0050703",0,0,0,597,82,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0050703",0,0,NA,NA,NA,1,0,2,2012-12-05
"impactstory","10.1371/journal.pone.0050703",NA,NA,NA,587,82,NA,NA,1,2013-05-17
"plosalm","10.1371/journal.pone.0042642",0,0,1,720,240,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042642",999,999,NA,NA,NA,999,999,999,1970-01-01
