"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
"plosalm","10.1371/journal.pone.0026242",0,0,3,1093,198,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0026242",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0026242",NA,NA,3,994,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0031562",0,0,1,585,92,0,5,0,2013-05-13
"altmetric","10.1371/journal.pone.0031562",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0031562",NA,NA,1,539,NA,NA,6,NA,2013-05-13
"plosalm","10.1371/journal.pone.0044886",0,0,0,433,120,1,NA,1,2013-05-13
"altmetric","10.1371/journal.pone.0044886",0,0,NA,NA,NA,NA,0,2,2012-10-09
"impactstory","10.1371/journal.pone.0044886",NA,NA,NA,424,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052883",0,0,0,281,83,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052883",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052883",NA,NA,NA,277,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0026247",0,0,2,1076,376,0,4,0,2013-05-14
"altmetric","10.1371/journal.pone.0026247",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0026247",NA,NA,2,977,1,NA,4,NA,2013-05-13
"plosalm","10.1371/journal.pone.0026246",0,0,4,1235,371,0,1,0,2013-05-13
"altmetric","10.1371/journal.pone.0026246",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0026246",NA,NA,4,1137,NA,NA,1,NA,2013-05-13
"plosalm","10.1371/journal.pone.0047553",0,0,0,494,73,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0047553",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0047553",NA,NA,NA,489,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0031565",0,0,2,1038,299,0,8,0,2013-05-13
"altmetric","10.1371/journal.pone.0031565",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0031565",NA,NA,2,990,2,NA,10,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052873",1,0,0,335,300,0,3,0,2013-05-13
"altmetric","10.1371/journal.pone.0052873",1,0,NA,NA,NA,NA,3,1,2013-01-10
"impactstory","10.1371/journal.pone.0052873",NA,NA,NA,332,NA,NA,4,NA,2013-05-13
"plosalm","10.1371/journal.pone.0026245",0,0,2,1284,318,0,7,0,2013-05-13
"altmetric","10.1371/journal.pone.0026245",999,999,NA,NA,NA,999,999,999,1970-01-01
